JobID           JobName      State    Elapsed ExitCode 
102_11       cpu_single  COMPLETED   00:03:07      0:0 
102_11.batch      batch  COMPLETED   00:03:07      0:0 
102_12       cpu_single  COMPLETED   00:03:10      0:0 
102_12.batch      batch  COMPLETED   00:03:10      0:0 
102_13       cpu_single     FAILED   00:00:01    127:0 
102_13.batch      batch     FAILED   00:00:01    127:0 
102_14       cpu_single     FAILED   00:00:01    127:0 
102_14.batch      batch     FAILED   00:00:01    127:0 
102_15       cpu_single     FAILED   00:00:01    127:0 
102_15.batch      batch     FAILED   00:00:01    127:0 
102_16       cpu_single     FAILED   00:00:01    127:0 
102_16.batch      batch     FAILED   00:00:01    127:0 
102_17       cpu_single     FAILED   00:00:01    127:0 
102_17.batch      batch     FAILED   00:00:01    127:0 
102_18       cpu_single     FAILED   00:00:01    127:0 
102_18.batch      batch     FAILED   00:00:01    127:0 
102_19       cpu_single     FAILED   00:00:01    127:0 
102_19.batch      batch     FAILED   00:00:01    127:0 
102_20       cpu_single     FAILED   00:00:01    127:0 
102_20.batch      batch     FAILED   00:00:01    127:0 
102_21       cpu_single     FAILED   00:00:01    127:0 
102_21.batch      batch     FAILED   00:00:01    127:0 
102_22       cpu_single     FAILED   00:00:01    127:0 
102_22.batch      batch     FAILED   00:00:01    127:0 
102_23       cpu_single     FAILED   00:00:01    127:0 
102_23.batch      batch     FAILED   00:00:01    127:0 
102_24       cpu_single     FAILED   00:00:01    127:0 
102_24.batch      batch     FAILED   00:00:01    127:0 
102_25       cpu_single     FAILED   00:00:01    127:0 
102_25.batch      batch     FAILED   00:00:01    127:0 
102_26       cpu_single     FAILED   00:00:01    127:0 
102_26.batch      batch     FAILED   00:00:01    127:0 
102_27       cpu_single     FAILED   00:00:01    127:0 
102_27.batch      batch     FAILED   00:00:01    127:0 
102_28       cpu_single     FAILED   00:00:01    127:0 
102_28.batch      batch     FAILED   00:00:01    127:0 
102_29       cpu_single     FAILED   00:00:01    127:0 
102_29.batch      batch     FAILED   00:00:01    127:0 
102_30       cpu_single     FAILED   00:00:01    127:0 
102_30.batch      batch     FAILED   00:00:01    127:0 
102_31       cpu_single     FAILED   00:00:01    127:0 
